,Precision,Recall,f1-score,Instances
p.loc,0.5,0.33,0.4,3
int,0.5,1,0.67,1
3.pss,0.5,0.33,0.4,3
3.cnt,0.57,0.8,0.67,5
prt,0.67,0.33,0.44,6
it,0.71,1,0.83,5
1.cnt,0.75,1,0.86,3
3.icp.irr,0.75,1,0.86,3
3.imp,0.8,0.57,0.67,7
3.obj,0.83,1,0.91,5
3.prf,0.86,1,0.92,6
muy,0.88,1,0.93,7
dem,0.89,0.86,0.88,29
dim,0.9,1,0.95,9
3.icp,0.91,0.86,0.89,36
det,0.91,0.86,0.89,74
psd,0.92,0.97,0.95,36
1.pss,0.92,1,0.96,23
1.icp,0.95,1,0.97,19
ctrf,0.95,0.95,0.95,19
stem,0.96,0.97,0.96,781
lig,0.96,0.71,0.81,31
det.pl,0.96,1,0.98,26
pl.exc,0.96,0.96,0.96,23
prag,0.97,1,0.99,36
1.cpl,1,1,1,21
3.cpl,1,0.98,0.99,54
1.obj,1,0.88,0.94,17
1.prf,1,1,1,11
loc,1,0.83,0.91,6
3.pot,1,1,1,27
pl,1,0.81,0.9,16
lim,1,1,1,44
1.pot,1,1,1,24
ila,1,0.93,0.96,14
dual.exc,1,1,1,2
3.pls,1,1,1,4
2.icp,1,1,1,16
dual,1,1,1,1
mod,1,1,1,6
1.icp.irr,1,1,1,1
2.cnt,1,0.5,0.67,2
agujerear/v,1,1,1,1
2.cpl,1,1,1,2
pues,1,1,1,1
1.enf,1,1,1,1
2.prf,1,1,1,1
2.obj,1,1,1,1
,,,,
total/avg,0.95,0.94,0.95,
