,Precision,Recall,f1-score,Instances
3.imp,0.33,0.33,0.33,3
med,0.4,1,0.57,2
mod,0.43,0.21,0.29,14
dual.exc,0.5,1,0.67,1
muy,0.5,0.5,0.5,4
1.prf,0.57,0.8,0.67,5
2.cnt,0.6,1,0.75,3
3.prf,0.6,0.75,0.67,4
loc,0.62,0.83,0.71,6
3.pls,0.67,1,0.8,6
pl,0.69,0.56,0.62,16
1.pss,0.71,0.94,0.81,16
1.cpl,0.73,1,0.85,11
dim,0.73,0.33,0.46,24
1.pot,0.74,0.83,0.78,24
dem,0.75,0.78,0.76,27
3.cnt,0.75,0.38,0.5,8
3.icp,0.79,0.8,0.8,46
ctrf,0.79,0.96,0.86,23
3.pot,0.81,0.94,0.87,32
lig,0.82,0.55,0.65,33
stem,0.83,0.81,0.82,810
pl.exc,0.86,0.97,0.91,31
it,0.88,0.78,0.82,9
3.cpl,0.89,1,0.94,49
det,0.89,0.91,0.9,79
2.icp,0.92,0.79,0.85,14
1.obj,0.93,0.81,0.87,16
ila,0.94,0.84,0.89,19
prag,0.94,1,0.97,31
1.icp,0.97,0.97,0.97,30
psd,0.98,0.92,0.95,53
det.pl,1,0.97,0.99,36
3.icp.irr,1,0.6,0.75,5
lim,1,0.95,0.97,38
dual,1,1,1,3
1.cnt,1,1,1,3
prt,1,0.33,0.5,6
3.obj,1,0.33,0.5,9
1.icp.irr,1,1,1,1
2,1,0.5,0.67,2
int,1,0.5,0.67,2
,,,,
total/avg,0.84,0.81,0.82,
