,Precision,Recall,f1-score,Instances
stem,0.96,0.96,0.96,771
psd,0.98,1,0.99,54
3.pls,1,0.6,0.75,5
ctrf,0.95,0.95,0.95,22
1.obj,0.91,0.83,0.87,12
1.cpl.irr,1,1,1,4
1.cpl,1,1,1,12
1.pss,1,1,1,19
3.cpl,1,0.94,0.97,53
dim,1,0.93,0.96,14
3.pot,1,1,1,23
det,0.99,0.92,0.95,78
prag,0.97,0.97,0.97,29
3.icp,0.97,0.9,0.94,40
lim,1,0.97,0.98,30
muy,1,0.8,0.89,10
det.pl,1,1,1,35
pl,0.71,0.45,0.56,11
lig,0.87,0.9,0.88,29
1.icp,1,1,1,34
3.cnt,0.88,0.88,0.88,8
1.prf,1,1,1,10
ila,1,0.83,0.91,12
1.cnt,1,0.75,0.86,4
2.obj,1,1,1,1
2.icp,1,1,1,17
2.pss,1,0.67,0.8,3
3.icp.irr,1,1,1,2
pl.exc,1,1,1,28
1.pot,1,1,1,20
mod,1,0.62,0.77,8
it,1,1,1,3
3.obj,1,0.86,0.92,7
2.cnt,0.75,1,0.86,3
dual.exc,1,1,1,3
dem,1,0.91,0.95,11
aum,1,1,1,1
int,1,1,1,2
1.irr,1,1,1,1
loc,1,1,1,1
pues,1,1,1,1
1.enf,1,1,1,1
prt,0.33,0.33,0.33,3
2,1,0.33,0.5,3
1.icp.irr,1,1,1,1
3.imp,1,1,1,1
y,1,1,1,1
2.cpl,1,1,1,1
3.prf,1,0.2,0.33,5
,,,,
total/avg,0.96,0.94,0.95,
