model_name,accuracy,time,l1,l2,dataset,train_size,test_size,max_iter,k-folds,desc
baseline_noreg_k_10.crfsuite,0.8758,29.39[m],0,0,otomi,1593,176,50,10,Baseline: simulación de HMM con las feature functions reducidas (solo se ve la letra actual y la anterior). Los parametros de regularizacion estan en 0
linearCRF_regularized_k_10.crfsuite,0.9484,27.91[m],1.0,0.001,otomi,1593,176,50,10,Toda la informacion disponible en las feature functions y penalizacion de parametros elasticnet seteados.
linearCRF_l1_zero_k_10.crfsuite,0.9467,27.03[m],0,0.001,otomi,1593,176,50,10,Toda la informacion disponible en las feature functions y l1 en cero.
linearCRF_noreg_k_10.crfsuite,0.9444,30.61[m],0,0,otomi,1593,176,50,10,Toda la informacion disponible en las feature functions. l1 y l2 en cero.
linearCRF_l2_zero_k_10.crfsuite,0.9477,31.66[m],1.0,0,otomi,1593,176,50,10,Toda la informacion disponible en las feature functions. l2 en cero.
HMMLike_regularized_k_10.crfsuite,0.8806,31.07[m],1.0,0.001,otomi,1593,176,50,10,Minima informacion en las feature functions. Solo letra actual y anterior. Parametros elasticnet seteados.
POSLess_regularized_k_10.crfsuite,0.9494,28.6[m],1.0,0.001,otomi,1593,176,50,10,feature functions omitiendo las etiquetas POS del corpus. Parametros elasticnet seteados.
POSLess_l1_zero_k_10.crfsuite,0.9459,26.82[m],0,0.001,otomi,1593,176,50,10,feature functions omitiendo las etiquetas POS del corpus. Parametro elasticnet l1 en cero.
POSLess_l2_zero_k_10.crfsuite,0.9477,27.58[m],1.0,0,otomi,1593,176,50,10,Feature functions omitiendo las etiquetas POS del corpus. Parametro elasticnet l2 en cero.
POSLess_noreg_k_10.crfsuite,0.9465,27.99[m],0,0,otomi,1593,176,50,10,Feature functions omitiendo las etiquetas POS del corpus. Parametros elasticnet en cero.
HMMLike_l1_zero_k_10.crfsuite,0.8758,30.1[m],0,0.001,otomi,1593,176,50,10,Simulando un HMM con las feauture functions al minimo (solo ve la letra actual y la anterior). L1 igual a cero
HMMLike_l2_zero_k_10.crfsuite,0.8787,27.8[m],1.0,0,otomi,1593,176,50,10,Simulando un HMM con las feauture functions al minimo (solo ve la letra actual y la anterior). L2 igual a cero
